"BYLINE","DATE","DATELINE","HEADLINE","LENGTH","PUBLICATION","SECTION","TITLE",
"","6. Mai 2018 ","","Regieren auf die rheinische Art; Zum Jahrestag seines Wahlsieges giftet die Opposition, Armin Laschet sei leichtfüßig, kungelfreudig und verplaudert. Da mag was dran sein. Aber der Ministerpräsident hat es damit weit gebracht","","Welt am Sonntag","","",
"","6. Mai 2018 ","","Der Wissensverteiler; Der Hamburger Student Michel Langhammer gibt im Senegal Workshops zu Solarenergie und Open Hardware. Das Konzept: Wissen soll für alle frei zugänglich sein. Es ist ein Experiment, das erste Früchte trägt","","Welt am Sonntag","","",
"","Samstag 5. Mai 2018 ","","Propaganda-Schlacht um russisches Atomfloß; Der Nuklearkonzern Rosatom hat im Streit mit Greenpeace gesiegt. Oder doch nicht?","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","","Wirtschaft Kompakt I; Salmonellen: Rückruf von Eiern aus Supermärkten ++ Schulden: Inkasso-Gebühren sind zu hoch ++ Atomkraft-Ausstieg: Betreiber erhalten Entschädigung ++ Schottland: Mindestpreis für Whisky und Co","","Die Welt","","",
"","Mittwoch 2. Mai 2018 ","",""Die Mitte muss ihre Sprachlosigkeit überwinden"; In Deutschland findet ein Kampf um Deutungshoheit statt, sagt der Historiker Andreas Rödder. Die "Kultur des Regenbogens" neige sich dem Ende zu, die Folge sei eine konservative Gegenbewegung. Was heißt das für die CDU?","","Die Welt","","",
"","Montag 30. April 2018 ","","Weniger AKWs, aber noch viele Atomtransporte; Kraftwerksstilllegungen wirken sich kaum aus","","Die Welt","","",
"","29. April 2018 ","","Den Strompreis bestimme ich; Strom wird seit vielen Jahren immer teurer. Eigentlich für alle - nicht aber für Nando Sommerfeldt. Durch ständige Wechsel des Anbieters hat er über die Jahre viel Geld gespart. Aus dem glücklichen Leben eines Tarifhoppers","","Welt am Sonntag","","",
"","Freitag 27. April 2018 ","","RWE-Aktionäre kritisieren Deal mit Erzrivalen; Zu hohe Risiken würden beim Konzern verbleiben","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Schaut auf diese Stadt; Berlins Industrie erlebt ein Revival. In Bereichen wie Mobilität und IT-Technologien gehört die Metropole zu den Besten in Deutschland","","Die Welt","","",
"","Mittwoch 25. April 2018 ","","Das wahrscheinlich süßeste Aushängeschild Berlins; Florida Eis hat sich vom Geheimtipp zum Mittelständler mit 240 Beschäftigten entwickelt. Jetzt produziert der etwas andere Eismacher auch CO2-neutral","","Die Welt","","",
"","Dienstag 24. April 2018 ","","Ökoenergie verliert Risikopuffer; Strombranche fordert Politik zum Handeln auf, um Unterdeckung zu vermeiden","","Die Welt","","",
"","Montag 23. April 2018 ","",""Allein in Libyen warten Hunderttausende"; Entwicklungsminister Gerd Müller (CSU) fordert zur Bekämpfung von Fluchtursachen eine Milliarde Euro zusätzlich für sein Ressort","","Die Welt","","",
"","22. April 2018 ","","NRW Kompakt; Sonderermittler: Fall Wendt belastet Staatssekretär ++ Energiekonzern: Steag wieder in den schwarzen Zahlen","","Welt am Sonntag","","",
"","22. April 2018 ","","Mehr Hafen, weniger Romantik; Tanger lebte lange von seinem Mythos als Ort der Sünde. Der verblasst inzwischen, weil die marokkanische Stadt ein Wirtschaftswunder erlebt","","Welt am Sonntag","","",
"","22. April 2018 ","","Ulla Schmidt ist weiter kämpferisch","","Welt am Sonntag","","",
"","22. April 2018 ","","Eine Frage des Stils; Jacinda Ardern ist seit einem halben Jahr Premierministerin von Neuseeland. Sie ist erst 37, schwanger und eine der wenigen erfolgreichen Sozialdemokratinnen.Wie schafft sie das?","","Welt am Sonntag","","",
"","22. April 2018 ","","Wo es sich dreht, soll es auch klingeln; Viele Gemeinden sind von Windrädern umstellt - und haben finanziell nichts davon. Das macht die Energiewende unbeliebt. Jetzt denkt die Bundesregierung über eine Art "Windnutzungsgebühr" nach, um Kommunen an den Profiten der Ökostromproduzenten zu beteiligen","","Welt am Sonntag","","",
"","Samstag 21. April 2018 ","",""Trump hat in einigen Dingen nicht unrecht"; Deutschlands Industrie boomt ungeachtet geopolitischer Brandherde. Sie hat keine Angst vor dem US-Präsidenten","","Die Welt","","",
"","Samstag 21. April 2018 ","","Der sozialistische Traum begräbt sich selbst; Kuba lockt mit alten US-Autos oder günstigem Rum. Doch der Tourismus spaltet das Land - und hängt einen Teil der Menschen wirtschaftlich ab","","Die Welt","","",
"","Samstag 21. April 2018 ","",""Cary" soll es richten; Der Wärmebedarf sinkt. Heizungshersteller Viessmann sucht neue Geschäftsfelder","","Die Welt","","",
"","Freitag 20. April 2018 ","","Wirtschaft Kompakt; Werbeblocker: Axel Springer zieht vor Verfassungsgericht ++ Europäische Union: Bußgeld für Abgasmanipulation ++ Engie Electrabel: Investition des Bundes gestiegen ++ Siemens Gamesa: Einigung im Konflikt um Jobabbau","","Die Welt","","",
"","Donnerstag 19. April 2018 ","","Tag 36","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Das Leben hinter den Zahlen; Mit Statistiken allein lassen sich die Probleme armer Kinder in Deutschland nicht erklären. Wer wirklich etwas ändern will, muss Familien finanziell entlasten - und zugleich jene Eltern aktivieren, die ihren Nachwuchs vernachlässigen","","Die Welt","","",
"","Mittwoch 18. April 2018 ","",""Viele falsche Freunde"; Grünen-Verkehrspolitiker Cem Özdemir wirft Union und SPD vor, die nötige Modernisierung der Autoindustrie zu bremsen","","Die Welt","","",
"","Mittwoch 18. April 2018 ","","Keine Märchen mehr; Erstmals hat Peter Altmaier als Bundeswirtschaftsminister über die Energiepolitik gesprochen. Vielsagend war in erster Linie, was er alles nicht erwähnt hat","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Tag 34","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Manöver gegen Dreckschleudern; Weltweite Schifffahrt einigt sich auf Halbierung der Emissionen. Zu schaffen ist das nur mit neuen Antrieben. Langsam fahren hilft auch","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Die neuen Kriege; Syrien ist ein Laboratorium für die Kämpfe des 21. Jahrhunderts - genauso wie es der spanische Bürgerkrieg für den Zweiten Weltkrieg war und der Koreakrieg für den Kalten Krieg","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Wirtschaft Kompakt I; Schaeffler: Einig mit Betriebsrat über Konzernumbau ++ Braunkohleausstieg: Kretschmer fordert 20 Jahre Schonfrist ++ Hans-Böckler-Stiftung: Rezessionsrisiko deutlich erhöht ++ Wirtschaftsforscher: Fachkräftemangel hemmt Wachstum","","Die Welt","","",
"","Dienstag 17. April 2018 ","","Erdgas soll dem Öl den Rang ablaufen; Alternative Energien noch lange kein Ersatz","","Die Welt","","",
"","15. April 2018 ","","Nichts als heiße Luft; Eine neue Volksinitiative will erzwingen, dass Hamburg die Nutzung der Kohleenergie aufgibt. Dem Klimaschutz aber wird diese vermeintliche "Strategie" nicht dienen. Eine Analyse","","Welt am Sonntag","","",
"","15. April 2018 ","",""Ohne Haltung geht's heute nicht mehr"; Die Band Revolverheld legt ihr erstes Studioalbum seit viereinhalb Jahren vor, "Zimmer mit Blick". Ein Gespräch über eine Ethik in unruhigen Zeiten","","Welt am Sonntag","","",
"","Freitag 13. April 2018 ","","Der Mythos vom Ostblock; Die Viségrad-Staaten polarisieren: Sie gelten als rückständig, xenophob - oder konservative Bastion. Doch "die Osteuropäer" gibt es nicht","","Die Welt","","",
"","Mittwoch 11. April 2018 ","","Sprachkolumne; Männlichkeit ist ein Umweltgift; Über die Karriere des Wortes "toxisch"","","Die Welt","","",
"","Mittwoch 11. April 2018 ","","Wirtschaft Kompakt II; Facebook: Mehrzahl der Deutschen bleibt treu ++ Milchwirtschaft: Molkereien zahlten 2017 Bauern mehr Geld ++ Trumpf: Höherer Verdienst mit Elektromobilität ++ Apple: Vollversorgung mit erneuerbaren Energien","","Die Welt","","",
"","Montag 9. April 2018 ","","Finanzen Kompakt; Frankreich: Lottogesellschaft soll an die Börse ++ Finanz-Start-ups: Rekordsumme von Investoren eingeworben ++ Norwegen: Mehr Geld in Solar- und Windparks ++ Krankschreibung: Arbeitnehmer trägt Risiko für Eingang ++ Otto: About-You-Börsengang nicht ausgeschlossen","","Die Welt","","",
"","8. April 2018 ","","Sie sprudelt wieder","","Welt am Sonntag","","",
"","8. April 2018 ","","Kurs auf Öko; Die Umweltbilanz der meisten Kreuzfahrtschiffe ist mies. Doch allmählich setzt in der Branche ein Umdenken ein","","Welt am Sonntag","","",
"","Freitag 6. April 2018 ","","Wirtschaft Kompakt II; Spanien: HSBC-Hinweisgeber Falciani wieder frei ++ USA: Seit 2008 höchstes Handelsdefizit ++ Ikea: Innenstädte statt grüner Wiese ++ Nord Stream 2: Finnische Regierung genehmigt Pipeline ++ Pflege: Betreuende Angehörige zum Drittel Männer ++ Erneuerbare Energien: Fast die Hälfte der Investitionen in China","","Die Welt","","",
"","Donnerstag 5. April 2018 ","","Clusterfuck; Katastrophen kann man nicht verhindern, indem man Katastrophen verhindert. Shit happens. Seit Jahrtausenden. Warum aus Trümmern Neues erwächst","","Die Welt","","",
"","Mittwoch 4. April 2018 ","","Die Harmonie der Autokraten trügt; Erdogan empfängt Putin in Ankara, beide betonen ihre Gemeinsamkeiten. Doch tatsächlich ist die Beziehung von Gegensätzen und Unsicherheit geprägt","","Die Welt","","",
"","1. April 2018 ","","Wilde Wut; Kein anderes Tier polarisiert so stark wie der Wolf. Wissenschaftlerin Kathleen Schwerdtner Máñez untersucht, warum","","Welt am Sonntag","","",
"","1. April 2018 ","","Eine Frage des Gewissens; Elektroautos scheinen grundsätzlich gut für die Umwelt. Doch die Berechnungen ihrer Öko-Bilanz sind sehr aufwendig - und teilweise sogar unmöglich","","Welt am Sonntag","","",
"","1. April 2018 ","","Raus aus dem Bunker!; Damit die Welt immer schöner werden kann, müssen immer mehr hässliche Gebäude errichtet werden. Doch die Architektur der Speicher für Daten, Energie oder Krempel muss nichtso banal bleiben wie jetzt","","Welt am Sonntag","","",
"","Samstag 31. März 2018 ","","Wie wär's mit Pferdeflüsterer?; Die Auswahl an Studiengängen wird größer. Und die Wünsche der Bewerber exotischer","","Die Welt","","",
"","Samstag 31. März 2018 ","","Habeck und Seehofer","","Die Welt","","",
"","Donnerstag 29. März 2018 ","","Eine Frage des Gewissens; Elektroautos scheinen grundsätzlich gut für die Umwelt. Doch die Berechnungen ihrer Öko-Bilanz sind sehr aufwendig - und teilweise sogar unmöglich","","Die Welt","","",
"","Mittwoch 28. März 2018 ","","Naturzerstörung in Grün; Um das Weltklimazu retten, setzt Deutschland auf regenerative Energien. Aber auch der Ausbau von Windkraft und Biodiesel schadet der Umwelt","","Die Welt","","",
"","Samstag 24. März 2018 ","","Der SPD-General stellt sich eine fast unmögliche Aufgabe; Sozialdemokraten wollen sich grundlegend erneuern. Lars Klingbeil muss nicht nur Parteiflügel einbinden, ein Problem ist auch die Zeit","","Die Welt","","",
"","Freitag 23. März 2018 ","","Verbraucher müssen mehr für Stromnetze zahlen; Bundesnetzagentur erleidet Schlappe vor Gericht","","Die Welt","","",
"","Freitag 23. März 2018 ","","Klimaschützer wider Willen; Kein Land der Welt hat 2017 mehr CO2 gespart als die USA. Und das geschah trotz Trump","","Die Welt","","",
"","Donnerstag 22. März 2018 ","","Mit Argumenten die Welt verändern; Politische Korrektheit war dem Journalisten Thomas Löffelholz ein Gräuel, so wie jede Unduldsamkeit gegen Andersdenkende. Er verband ein ungeheures Faktenwissen mit gesundem Menschenverstand. Jetzt ist der ehemalige WELT-Chefredakteur im Alter von 85 Jahren gestorben","","Die Welt","","",
"","Dienstag 20. März 2018 ","","Klima der anderen; Die Deutschen sind bei der Rettung der Welt ganz vorne dabei. Behaupten sie zumindest. Tatsächlich ist ihnen die Erderwärmung egal, klagt Umweltpsychologe Gerhard Reese","","Die Welt","","",
"","Dienstag 20. März 2018 ","","Energiewende? Nur Mittelmaß; Im weltweiten Vergleich kommt Deutschland noch nicht einmal in Europa unter die Top Ten","","Die Welt","","",
"","Montag 19. März 2018 ","","Trumps Strafzölle ergeben strategisch Sinn","","Die Welt","","",
"","18. März 2018 ","","Teilen und Vernetzen; Intelligente Städte sind entscheidend für die Zukunft der Menschheit. In Berlin werden die Weichen für ein smartes Quartier bereits gestellt","","Welt am Sonntag","","",
"","Samstag 17. März 2018 ","","Wenn der Erzfeind zum Arbeitgeber wird; Verschluckt sich E.on an Innogy? Der Energiekonzern übernimmt 42.000 Mitarbeiter - und damit auch ihre Unternehmenskultur. So etwas ging schon oft schief","","Die Welt","","",
"","Freitag 16. März 2018 ","","Zahm geworden; Für die einen markiert 1968 den Beginn ihrer Zeitrechnung; für die anderen war esder Untergang des Abendlandes. Beides ist falsch. Und eine Revolution war es schon gar nicht","","Die Welt","","",
"","Freitag 16. März 2018 ","","Formel für Börsenerfolg; Die richtigen Aktien herauszufiltern ist für Anleger gar nicht so schwer","","Die Welt","","",
"","Donnerstag 15. März 2018 ","","Schreckensschweigen nach der Wahl Merkels; Mehr als 30 Abgeordnete der großen Koalition verweigern der Kanzlerin ihre Stimme. Damit hatte nicht einmal die Opposition gerechnet","","Die Welt","","",
